id,title,main_picture,alternative_titles,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,genres,media_type,status,num_episodes
10056,Sore Ike! Anpanman: Kyouryuu Nosshii no Daibouken,"{""medium"": ""https://cdn.myanimelist.net/images/anime/6/28052.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/6/28052l.webp""}","{""synonyms"": [""Soreike! Anpanman: Nosshi the Dinosaur's Big Adventure""], ""en"": """", ""ja"": ""\u305d\u308c\u3044\u3051! \u30a2\u30f3\u30d1\u30f3\u30de\u30f3 \u6050\u7adc\u30ce\u30c3\u30b7\u30fc\u306e\u5927\u5192\u967a""}",1993-07-17,1993-07-17,5th Anpanman short movie.,6.17,8988,16765,542,159,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 10, ""name"": ""Fantasy""}, {""id"": 15, ""name"": ""Kids""}]",movie,finished_airing,1
32817,Teekyuu 7 Specials,"{""medium"": ""https://cdn.myanimelist.net/images/anime/5/83104.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/5/83104l.jpg""}","{""synonyms"": [""Tekyuu 7 Specials"", ""Teekyu 7 Specials"", ""Teekyuu 7 OVA""], ""en"": ""Teekyu 7 Specials"", ""ja"": ""\u3066\u30fc\u304d\u3085\u3046\u30007\u671f\u3000\uff34\uff36\u672a\u653e\u9001\u30aa\u30ea\u30b8\u30ca\u30eb\u30a8\u30d4\u30bd\u30fc\u30c9\u30a2\u30cb\u30e1""}",2016-05-27,2016-05-27,Unaired specials included in the Blu-ray and DVD release.,6.17,8989,9583,4105,1783,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Shounen""}, {""id"": 30, ""name"": ""Sports""}]",special,finished_airing,2
3977,To Heart Omake,"{""medium"": ""https://cdn.myanimelist.net/images/anime/9/29923.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/9/29923l.webp""}","{""synonyms"": [], ""en"": """", ""ja"": ""\u30c8\u30a5\u30cf\u30fc\u30c8 \u304a\u307e\u3051""}",1999-07-09,1999-12-17,"Six short ""Special Broadcasts"" (omake) were produced and aired after selected episodes. They lasted around five minutes and followed the general style of the main anime, although the characters are drawn as chibis.

(Source: Wikipedia)",6.17,8990,9902,3737,1259,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 35, ""name"": ""Harem""}, {""id"": 23, ""name"": ""School""}]",special,finished_airing,6
40990,"Touhokutou, Juunana no Sora","{""medium"": ""https://cdn.myanimelist.net/images/anime/1064/105222.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1064/105222l.webp""}","{""synonyms"": [], ""en"": ""The Light at Night in Summer"", ""ja"": ""\u6771\u5317\u6771, \u5341\u4e03\u306e\u7a7a""}",2015-12-11,2015-12-11,"Hirofumi Mizusawa is a second year student at Nanagou High School, which is going to close this summer. One day late at night while trying to finish his summer homework, he observes a ""flying orange light"" from the window in his room. The next day, he tells his friends Akira and Ryo about it, and they begin to investigate the true nature of the light, but...

(Source: YouTube, edited)",6.17,8991,18491,392,154,"[{""id"": 36, ""name"": ""Slice of Life""}]",ona,finished_airing,1
20053,Wizard Barristers: Benmashi Cecil,"{""medium"": ""https://cdn.myanimelist.net/images/anime/9/58145.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/9/58145l.webp""}","{""synonyms"": [], ""en"": ""Wizard Barristers"", ""ja"": ""\u30a6\u30a3\u30b6\u30fc\u30c9\u30fb\u30d0\u30ea\u30b9\u30bf\u30fc\u30ba\uff5e\u5f01\u9b54\u58eb\u30bb\u30b7\u30eb""}",2014-01-13,2014-03-31,"The story takes place in Tokyo in 2018, where normal humans and those who can use magic coexist. As a result, there are laws against using magic, and a ""magic courtroom"" exists to preside over lawsuits regarding magic use. In these cases, ""Benmashi"" or wizard barristers defend those who use magic. The anime follows Cecil, the youngest Benmashi in history, and her associates as they defend clients in these cases.

(Source: ANN)",6.17,8992,3006,60672,24250,"[{""id"": 1, ""name"": ""Action""}, {""id"": 10, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Mecha""}, {""id"": 82, ""name"": ""Urban Fantasy""}]",tv,finished_airing,12
50430,Wo de Yi Jie Zhi Lu,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1468/119592.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1468/119592l.webp""}","{""synonyms"": [""My Journey To Another World""], ""en"": ""My Journey in an Alternate World"", ""ja"": ""\u6211\u7684\u5f02\u754c\u4e4b\u65c5""}",2022-01-13,2022-05-27,"Young Chen Xiaofan entered an alternate world after he accidentally swallowed a Chaos Orb, and became Young Master Chen, the prettiest man in Muyun City. Although he was adored by all the ladies in Muyun City, he was useless as he was not able to cultivate. With his mind set on going back to his original world, he gave up his stable lifestyle as a young master and went against his family’s wishes, determined to walk the path of a cultivator.

(Source: Narul Donghua)",6.17,8993,11783,2110,462,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Adventure""}, {""id"": 4, ""name"": ""Comedy""}, {""id"": 10, ""name"": ""Fantasy""}, {""id"": 13, ""name"": ""Historical""}, {""id"": 17, ""name"": ""Martial Arts""}]",ona,finished_airing,40
15313,Wooser no Sono Higurashi,"{""medium"": ""https://cdn.myanimelist.net/images/anime/8/55353.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/8/55353l.webp""}","{""synonyms"": [""Project Wooser""], ""en"": ""Wooser's Hand-to-Mouth Life"", ""ja"": ""\u3046\u30fc\u3055\u30fc\u306e\u305d\u306e\u65e5\u66ae\u3089\u3057""}",2012-10-03,2012-12-19,"Lovely, but with a dark heart. The hand-to-mouth life of a strange yellow and black creature named ""Wooser"". Lovely but with a dark heart, the new hero (?) from the depths of the internet is appearing on TV and Nico Nico Video! ""My favorite things are meat and money and girls,"" he says, but what are his cute, round eyes staring at? (* Probably meat, money, or girls) The strange hand-to-mouth life of this strange creature is now being animated by Sanzigen, famous for their 3D CG animations! Do note that the dot in the middle is supposedly a mouth, not a nose.

(Source: Crunchyroll)",6.17,8994,6223,12318,5645,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 10, ""name"": ""Fantasy""}, {""id"": 36, ""name"": ""Slice of Life""}]",tv,finished_airing,12
49794,Yan Wang: Guai Hualang,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1545/117655.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1545/117655l.webp""}","{""synonyms"": [], ""en"": """", ""ja"": ""\u989c\u738b -\u602a\u753b\u5eca-""}",2021-09-19,2021-11-21,"An ordinary man, An Xiao Gu, who became a five-star beauty because of a strange encounter in a world where face value determines everything. So he begins the story of saving his sister and changing the world",6.17,8995,13238,1347,247,"[{""id"": 10, ""name"": ""Fantasy""}]",ona,finished_airing,12
40238,Yumemi no E,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1133/102524.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1133/102524l.jpg""}","{""synonyms"": [""Yume Minoe""], ""en"": ""Dreams into Drawing"", ""ja"": ""\u3086\u3081\u307f\u306e\u3048""}",2019-08-23,2019-08-23,"The painter Kuwagata Keisai lived over 200 years ago. He created 'Ways to Sketch', a series of picture books illustrating humans and animals, all richly expressed. One day he was sketching out a carp, just at that moment he slept and he became a carp in dream. A carp was enjoy to swimming, but a fisherman caught that carp...

(Source: Yamamura Animation)",6.17,8996,15423,732,216,"[{""id"": 13, ""name"": ""Historical""}, {""id"": 80, ""name"": ""Visual Arts""}]",movie,finished_airing,1
42972,Zoku Sayonara Zetsubou Sensei: Shuukan Zetsubou Sensei Hihyou,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1704/109467.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1704/109467l.webp""}","{""synonyms"": [""Zoku Sayonara Zetsubou Sensei Specials, Zoku Sayonara Zetsubou Sensei: Zetsubou Sensei Weekly Review""], ""en"": """", ""ja"": ""\u4fd7\u30fb\u3055\u3088\u306a\u3089\u7d76\u671b\u5148\u751f\u300c\u9031\u520a\u7d76\u671b\u5148\u751f\u6279\u8a55\u300d""}",2008-03-26,2008-06-25,Specials included in the Zoku Sayonara Zetsubou Sensei DVD volumes.,6.17,8997,15797,670,159,"[{""id"": 4, ""name"": ""Comedy""}]",special,finished_airing,4
